1691661256,47.6
1691661325,47.6
1691661326,47.6
1691661327,47.6
1691661328,47.6
1691661373,47.6
1691661374,47.6
1691661375,47.6
1691661385,47.6
1691661386,47.6
1691661387,47.6
1691661632,47.6
1691661633,47.6
1691661634,47.6
1691661650,47.6
1691661651,47.6
1691661652,47.6
1691661653,47.6
1691661732,47.6
1691661765,47.6
1691661781,47.6
1691661787,47.6
1691661802,47.6
1691661811,47.6
1691661830,47.6
1691661849,47.6
1691661916,47.6
1691662031,47.6
1691662044,47.6
1691662136,47.6
1691662152,47.6
1691662172,47.6
1691662222,47.6
1691662320,47.6
1691662326,47.6
1691662332,47.6
1691662425,47.6
1691662448,47.6
1691662497,47.6
1691662820,47.6
1691662844,47.6
1691662933,47.6
1691662968,47.6
1691663302,47.6
1691663487,47.6
1691663497,47.6
1691663507,47.6
1691689865,51.4
1691689873,51.4
1692115244,78.0
1692115251,78.0
1692115341,78.0
1692115374,78.0
1692115457,78.0
1692115571,78.0
1692115702,78.0
1692115763,78.0
1692115842,78.0
1692115908,47.6
1692115934,47.6
1692115977,47.6
1692116009,47.6
1692116032,47.6
1692116058,47.6
1692116088,78.0
1692116104,78.0
1692116137,78.0
1692116175,78.0
1692116217,78.0
1692116251,78.0
1692116282,78.0
1692116346,78.0
1692116403,78.0
1692116416,78.0
1692116427,78.0
1692116439,78.0
1692116497,78.0
1692116521,78.0
1692116537,78.0
1692116574,78.0
1692116592,78.0
1692118217,89.0
1692118223,89.0
1692118241,89.0
